"","sample","PC1","PC2","label","tissue","diet","batch"
"19","Johanna-Johanna-LFQ intensity 4453_22_PBS_f",-12.9691183063859,-16.5464499984529,"iWAT-Standard Diet","iWAT","CD","Johanna"
"20","Johanna-Johanna-LFQ intensity 4454_22_PBS_f",-23.401034536358,-20.2947491199861,"iWAT-Standard Diet","iWAT","CD","Johanna"
"21","Johanna-Johanna-LFQ intensity 4455_22_PBS_f",0.0421290668357392,-14.7638854540597,"iWAT-Standard Diet","iWAT","CD","Johanna"
"22","Johanna-Johanna-LFQ intensity 4456_22_PBS_m",30.9821278680733,18.4837781387301,"iWAT-Standard Diet","iWAT","CD","Johanna"
"23","Johanna-Johanna-LFQ intensity 4457_22_PBS_m",-1.52100241865072,-9.84294067260595,"iWAT-Standard Diet","iWAT","CD","Johanna"
"24","Johanna-Johanna-LFQ intensity 4458_22_PBS_m",13.5315899998843,-0.56559320857855,"iWAT-Standard Diet","iWAT","CD","Johanna"
"25","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_1_1857",15.132699838896,-15.3502740668341,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"26","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_2_2127",15.0973519715088,-5.43154523031258,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"27","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_3_2145",42.7471985413941,2.93863643027143,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"28","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_4_3253",23.2280250869668,-4.9363784791519,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"29","KristinaeWAT-KristinaeWAT-LFQ intensity CD_eWAT_5_4222",21.3850740916594,-8.59856684383804,"eWAT-Standard Diet","eWAT","CD","KristinaeWAT"
"30","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_1_1096",13.2016899561512,-9.46877268846977,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"31","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_2_1544",-1.71306652257172,-17.3975770441437,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"32","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_3_2005",35.363389099855,-1.7072892485177,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"33","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_4_3416",29.5970583359102,-6.1101059424621,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"34","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_CD_eWAT_5_4224",8.98360510089189,-13.2554190650833,"eWAT-HFDCD","eWAT","HFDCD","KristinaeWAT"
"35","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_1_1106",-3.83419275971703,-14.7080861542487,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"36","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_2_1541",-10.2558918271349,-19.1593848315218,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"37","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_3_2002",-6.42000391410409,-19.1093918907662,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"38","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_4_3421",-4.8299272306778,-13.4041064436037,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"39","KristinaeWAT-KristinaeWAT-LFQ intensity HFD_eWAT_5_4226",-8.0853826119034,-13.8047709215529,"eWAT-High Fat Diet","eWAT","HFD","KristinaeWAT"
"40","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_1_1427",8.17584584516094,-15.294258328517,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"41","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_2_1857",-3.50222326013675,-21.9169992065964,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"42","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_3_2127",15.3577748996656,-4.3584392032058,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"43","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_4_2145",29.5514647999781,9.33705667513981,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"44","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_5_3253",12.6321334939112,-12.5808205741481,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"45","KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_6_4222",18.9238681725749,-9.49940813480475,"iWAT-Standard Diet","iWAT","CD","KristinaiWAT"
"46","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_1_1096",22.276804350879,-11.9258095636434,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"47","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_2_1544",10.1889020628417,-12.3014857009108,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"48","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_3_2005",20.5149534505482,-0.999016269376786,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"49","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_4_2179",20.5312226173457,5.50826150839851,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"50","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_5_3416",19.1257604977984,-12.4915172839584,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"51","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_6_4224",14.9742213012374,-15.3912872409384,"iWAT-HFDCD","iWAT","HFDCD","KristinaiWAT"
"52","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_1_1106",17.5000869719851,-14.7295291486428,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"53","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_2_1541",0.200364694707029,-14.4775277269874,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"54","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_3_2002",1.30361429666542,-15.8954910102513,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"55","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_4_2172",6.01462665290858,-7.97286793190821,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"56","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_5_3421",3.93683642831564,-14.203439852086,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"57","KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_6_4226",6.42993049329736,-17.6425324689425,"iWAT-High Fat Diet","iWAT","HFD","KristinaiWAT"
"58","Melina-Melina-Cold1",-6.24230415331367,35.5450835953391,"BAT-CD","BAT","CD","Melina"
"59","Melina-Melina-Cold2",-3.73421110505727,37.5609559536106,"BAT-CD","BAT","CD","Melina"
"60","Melina-Melina-Cold3",-8.39781552340482,32.1119797358697,"BAT-CD","BAT","CD","Melina"
"61","Melina-Melina-Cold4",-6.9824226884698,33.6399233214523,"BAT-CD","BAT","CD","Melina"
"62","Melina-Melina-Cold5",-12.909770202824,34.1326764176188,"BAT-CD","BAT","CD","Melina"
"63","Melina-Melina-Cold6",-11.9389014107769,31.5783665037829,"BAT-CD","BAT","CD","Melina"
"64","Melina-Melina-RT1",-44.5059219263142,-2.50093358742582,"BAT-CD","BAT","CD","Melina"
"65","Melina-Melina-RT2",-40.6425440201826,3.18973008384431,"BAT-CD","BAT","CD","Melina"
"66","Melina-Melina-RT3",-15.3589823204114,22.6935138606027,"BAT-CD","BAT","CD","Melina"
"67","Melina-Melina-RT4",-18.8672716091981,23.8261785233772,"BAT-CD","BAT","CD","Melina"
"68","Melina-Melina-RT5",-11.8117593435516,28.0948082617369,"BAT-CD","BAT","CD","Melina"
"69","Melina-Melina-RT6",-13.0952044685141,27.6473965141367,"BAT-CD","BAT","CD","Melina"
"70","Oeckl-Oeckl-iBAT.T23.WT_1",-6.30068327576892,8.45756708646531,"BAT-Standard Diet","BAT","CD","Oeckl"
"71","Oeckl-Oeckl-iBAT.T23.WT_2",-6.25777146934059,8.46649668258361,"BAT-Standard Diet","BAT","CD","Oeckl"
"72","Oeckl-Oeckl-iBAT.T23.WT_3",-5.88170523376606,8.85758856073556,"BAT-Standard Diet","BAT","CD","Oeckl"
"73","Oeckl-Oeckl-iBAT.T23.WT_4",-5.43423788841237,10.1107558665279,"BAT-Standard Diet","BAT","CD","Oeckl"
"74","Oeckl-Oeckl-iWAT.T23.WT_1",-8.73905760702913,-2.38007511820503,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"75","Oeckl-Oeckl-iWAT.T23.WT_2",-10.169735380069,-4.0085134316437,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"76","Oeckl-Oeckl-iWAT.T23.WT_3",-8.68707562805877,-1.46125270898808,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"77","Oeckl-Oeckl-iWAT.T23.WT_4",-9.93097548319766,-2.59629146834091,"iWAT-Standard Diet","iWAT","CD","Oeckl"
"78","Query-Query-VEH1W",-4.72550414795328,-0.759605623509663,"NA-NA",NA,NA,"Query"
"79","Rhabi-Rhabi-VEH1B",-3.30143156761209,1.72688679684035,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"80","Rhabi-Rhabi-VEH1W",-6.21900485732697,-2.1700387877782,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"81","Rhabi-Rhabi-VEH2B",-3.27412979992246,1.76526160234395,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"82","Rhabi-Rhabi-VEH2W",-6.44652432954516,-2.21976027531421,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"83","Rhabi-Rhabi-VEH3B",-3.09104129252642,1.71989563792763,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"84","Rhabi-Rhabi-VEH3W",-6.29010469490048,-2.15162852941514,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"85","Rhabi-Rhabi-VEH4B",-3.13443099787771,1.79627114402345,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"86","Rhabi-Rhabi-VEH4W",-6.15791671199062,-2.0878247791949,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"87","Rhabi-Rhabi-VEH5B",-3.20078322086874,1.81042690542069,"BAT-High Fat Diet","BAT","HFD","Rhabi"
"88","Rhabi-Rhabi-VEH5W",-6.36991209263033,-2.23922026485443,"iWAT-High Fat Diet","iWAT","HFD","Rhabi"
"89","WangBAT-WangBAT-Intensity of BAT_CD1",-5.11320966702904,-1.49443967470625,"BAT-Standard Diet","BAT","CD","WangBAT"
"90","WangBAT-WangBAT-Intensity of BAT_CD2",-5.0339780928203,-1.2890080078918,"BAT-Standard Diet","BAT","CD","WangBAT"
"91","WangBAT-WangBAT-Intensity of BAT_CD3",-3.32591127487709,0.356765420492675,"BAT-Standard Diet","BAT","CD","WangBAT"
"92","WangBAT-WangBAT-Intensity of BAT_CD4",2.82116621946925,4.23369488973261,"BAT-Standard Diet","BAT","CD","WangBAT"
"93","WangBAT-WangBAT-Intensity of BAT_CD5",3.34857802293746,4.48377509945172,"BAT-Standard Diet","BAT","CD","WangBAT"
"94","WangBAT-WangBAT-Intensity of BAT_HFD1",-4.94608153078802,0.675409489312952,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"95","WangBAT-WangBAT-Intensity of BAT_HFD2",0.950993598516968,4.84054090367702,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"96","WangBAT-WangBAT-Intensity of BAT_HFD3",5.12792540721702,8.2660900039069,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"97","WangBAT-WangBAT-Intensity of BAT_HFD4",-2.11393943057018,2.94506459313156,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"98","WangBAT-WangBAT-Intensity of BAT_HFD5",-4.02913368905575,2.96952135230454,"BAT-High Fat Diet","BAT","HFD","WangBAT"
"99","WangWAT-WangWAT-Intensity of sWAT_CD1",3.78697579014547,3.6921546767295,"WAT-Standard Diet","WAT","CD","WangWAT"
"100","WangWAT-WangWAT-Intensity of sWAT_CD2",4.0186130798462,3.25473973766932,"WAT-Standard Diet","WAT","CD","WangWAT"
"101","WangWAT-WangWAT-Intensity of sWAT_CD3",-1.07794353133433,-0.235258573712473,"WAT-Standard Diet","WAT","CD","WangWAT"
"102","WangWAT-WangWAT-Intensity of sWAT_CD4",-3.47159752951814,0.390027259584449,"WAT-Standard Diet","WAT","CD","WangWAT"
"103","WangWAT-WangWAT-Intensity of sWAT_CD5",-4.46488053248747,-0.59808116673735,"WAT-Standard Diet","WAT","CD","WangWAT"
"104","WangWAT-WangWAT-Intensity of sWAT_HFD1",-7.96202608432263,-9.20636756060774,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"105","WangWAT-WangWAT-Intensity of sWAT_HFD2",-1.41180420720951,-6.24365151479047,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"106","WangWAT-WangWAT-Intensity of sWAT_HFD3",-1.17076096669439,-6.89509661590814,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"107","WangWAT-WangWAT-Intensity of sWAT_HFD4",-8.24842935783888,-9.80324225245041,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"108","WangWAT-WangWAT-Intensity of sWAT_HFD5",-6.7882923021717,-10.0174439791414,"WAT-High Fat Diet","WAT","HFD","WangWAT"
"109","Williams-Williams-Whole CellBAT_101",-12.592637523848,-0.92007822784664,"BAT-Standard Diet","BAT","CD","Williams"
"110","Williams-Williams-Whole CellBAT_45",-7.71420985820628,1.60955632988079,"BAT-Standard Diet","BAT","CD","Williams"
"111","Williams-Williams-Whole CellBAT_66",-11.5963005652911,-1.36272013756979,"BAT-Standard Diet","BAT","CD","Williams"
"112","Williams-Williams-Whole CellBAT_68",-6.74161685988267,1.75755164028662,"BAT-Standard Diet","BAT","CD","Williams"
"113","Williams-Williams-Whole CellBAT_73",-4.72131260306982,3.79232115591308,"BAT-Standard Diet","BAT","CD","Williams"
"114","Williams-Williams-Whole CellBAT_80",-5.61615625566037,4.29690701190803,"BAT-Standard Diet","BAT","CD","Williams"
"115","Williams-Williams-Whole CellBAT_C57",-5.05083531681151,4.05196911124455,"BAT-Standard Diet","BAT","CD","Williams"
"116","Williams-Williams-Whole CellBAT_DBA",-6.9148138838484,2.51594700996091,"BAT-Standard Diet","BAT","CD","Williams"
